rtid,imdb,title,critic,fresh,publication,quote,review_date
9559,0114709,Toy story,Roger Moore,fresh,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",1995-11-22
12436,0113497,Jumanji,Owen Gleiberman,rotten,Entertainment Weekly,,2011-09-07
12436,0113497,Jumanji,Leonard Klady,none,Variety,,2009-01-02
12436,0113497,Jumanji,Geoff Andrew,none,Time Out,,2006-06-24
12436,0113497,Jumanji,Janet Maslin,none,New York Times,,2003-05-20
12436,0113497,Jumanji,Peter Stack,none,San Francisco Chronicle,,2002-06-18
12436,0113497,Jumanji,,none,Globe and Mail,,2002-04-12
12436,0113497,Jumanji,Jack Mathews,none,Los Angeles Times,,2001-02-13
12436,0113497,Jumanji,,none,Washington Post,,2000-01-01
12436,0113497,Jumanji,James Berardinelli,rotten,ReelViews,,2000-01-01
12436,0113497,Jumanji,Joe Baltake,none,Sacramento Bee,,2000-01-01
12436,0113497,Jumanji,Roger Ebert,rotten,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",2000-01-01
12436,0113497,Jumanji,Susan Stark,fresh,Detroit News,,2000-01-01
12436,0113497,Jumanji,,fresh,USA Today,A calculated but very entertaining special effects extravaganza.,2000-01-01
12436,0113497,Jumanji,,rotten,Entertainment Weekly,,1995-12-15
10498,0107050,Grumpy Old Men,Brian Lowry,none,Variety,,2010-10-06
10498,0107050,Grumpy Old Men,,none,Variety,,2009-03-26
10498,0107050,Grumpy Old Men,Richard Schickel,fresh,TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,2008-08-24
10498,0107050,Grumpy Old Men,Derek Adams,rotten,Time Out,"Mediocre, regrettably.",2006-06-24
10498,0107050,Grumpy Old Men,Caryn James,fresh,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",2003-05-20
10498,0107050,Grumpy Old Men,James Berardinelli,fresh,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",2000-01-01
10498,0107050,Grumpy Old Men,Roger Ebert,rotten,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",2000-01-01
10498,0107050,Grumpy Old Men,Desson Thomson,fresh,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",2000-01-01
10498,0107050,Grumpy Old Men,,fresh,Entertainment Weekly,,1993-12-24
16697,0114885,Waiting to Exhale,Godfrey Cheshire,none,Variety,,2009-03-26
16697,0114885,Waiting to Exhale,David Ansen,none,Newsweek,,2008-03-31
16697,0114885,Waiting to Exhale,,none,Time Out,,2006-01-26
16697,0114885,Waiting to Exhale,Stephen Holden,none,New York Times,,2003-05-20
16697,0114885,Waiting to Exhale,Liam Lacey,rotten,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,2002-04-12
16697,0114885,Waiting to Exhale,Kenneth Turan,fresh,Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,2001-02-13
16697,0114885,Waiting to Exhale,Edward Guthmann,rotten,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",2000-01-01
16697,0114885,Waiting to Exhale,Desson Thomson,fresh,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,2000-01-01
16697,0114885,Waiting to Exhale,Joan Walsh,rotten,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",2000-01-01
16697,0114885,Waiting to Exhale,Susan Wloszczyna,fresh,USA Today,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",2000-01-01
16697,0114885,Waiting to Exhale,Joe Baltake,rotten,Sacramento Bee,"With one possible exception, none of its women is at all likable.",2000-01-01
16697,0114885,Waiting to Exhale,Susan Stark,rotten,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",2000-01-01
16697,0114885,Waiting to Exhale,James Berardinelli,rotten,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",2000-01-01
16697,0114885,Waiting to Exhale,Roger Ebert,fresh,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",2000-01-01
16697,0114885,Waiting to Exhale,,fresh,Entertainment Weekly,,1995-12-22
10379,0113041,Father of the Bride Part II,Brian Lowry,none,Variety,,2009-03-26
10379,0113041,Father of the Bride Part II,,none,Time Out,,2006-01-26
10379,0113041,Father of the Bride Part II,Janet Maslin,none,New York Times,,2003-05-20
10379,0113041,Father of the Bride Part II,Peter Stack,none,San Francisco Chronicle,,2002-06-18
10379,0113041,Father of the Bride Part II,,none,Globe and Mail,,2002-04-12
10379,0113041,Father of the Bride Part II,Kevin Thomas,none,Los Angeles Times,,2001-02-13
10379,0113041,Father of the Bride Part II,Mike Clark,rotten,USA Today,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",2000-01-01
10379,0113041,Father of the Bride Part II,Roger Ebert,rotten,Chicago Sun-Times,,2000-01-01
10379,0113041,Father of the Bride Part II,Susan Stark,rotten,Detroit News,,2000-01-01
10379,0113041,Father of the Bride Part II,Joe Baltake,none,Sacramento Bee,,2000-01-01
10379,0113041,Father of the Bride Part II,Hal Hinson,none,Washington Post,,2000-01-01
10379,0113041,Father of the Bride Part II,James Berardinelli,rotten,ReelViews,,2000-01-01
10379,0113041,Father of the Bride Part II,Desson Thomson,none,Washington Post,,2000-01-01
10379,0113041,Father of the Bride Part II,,fresh,Entertainment Weekly,,1995-12-08
13098,0113277,Heat,Todd McCarthy,fresh,Variety,Heat occupies an exalted position among the countless contemporary crime films.,2008-10-16
13098,0113277,Heat,Peter Travers,fresh,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,2007-08-14
13098,0113277,Heat,Geoff Andrew,fresh,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",2006-02-09
13098,0113277,Heat,Janet Maslin,rotten,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",2003-05-20
13098,0113277,Heat,Kenneth Turan,fresh,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",2001-02-13
13098,0113277,Heat,Mike Clark,fresh,USA Today,"For a film that deserves Oscars for photography, editing, sound and arguably scoring, Heat is packed with unforgettable subcharacters.",2000-01-01
13098,0113277,Heat,Richard Schickel,fresh,TIME Magazine,"All this adds good weight and tension to the movie and provides a lot of very good actors with the opportunity to do honest, probing work in a context where, typically, less will do.",2000-01-01
13098,0113277,Heat,Andrew Ross,rotten,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities ...",2000-01-01
13098,0113277,Heat,Roger Ebert,fresh,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,2000-01-01
13098,0113277,Heat,James Berardinelli,rotten,ReelViews,... a colossal disappointment.,2000-01-01
13098,0113277,Heat,Hal Hinson,fresh,Washington Post,"If there's one thing Michael Mann knows how to do, it's create tension.",2000-01-01
13098,0113277,Heat,Sean Means,fresh,Film.com,Heat generates lots of energy but gives off little light.,2000-01-01
13098,0113277,Heat,Desson Thomson,fresh,Washington Post,"As with his other works, [Mann] binds sound, music and pictures into one hypnotic triaxial cable and plugs it right into your brain. He makes this almost-three-hour experience practically glide by.",2000-01-01
13098,0113277,Heat,Susan Stark,fresh,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,2000-01-01
13098,0113277,Heat,Edward Guthmann,fresh,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",2000-01-01
13098,0113277,Heat,Andy Spletzer,fresh,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,2000-01-01
13098,0113277,Heat,Joe Baltake,fresh,Sacramento Bee,"Heat has an impressively strong script by Mann, and he backs it up with gorgeous filmmaking.",2000-01-01
13098,0113277,Heat,Owen Gleiberman,fresh,Entertainment Weekly,Heat is an ''epic'' that feels like a stunt.,1995-12-15
18228,0047437,Sabrina,,fresh,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",2009-02-03
18228,0047437,Sabrina,Variety Staff,fresh,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",2008-10-18
18228,0047437,Sabrina,Dave Kehr,fresh,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,2007-08-15
18228,0047437,Sabrina,Derek Adams,fresh,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",2006-06-24
18228,0047437,Sabrina,James Berardinelli,fresh,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",2000-01-01
18228,0047437,Sabrina,Bosley Crowther,fresh,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",2000-01-01
11639,0112302,Tom and Huck,Joe Leydon,none,Variety,,2009-03-26
11639,0112302,Tom and Huck,Hal Hinson,none,Washington Post,,2000-01-01
11639,0112302,Tom and Huck,Susan Wloszczyna,rotten,USA Today,A joyless lump.,2000-01-01
11639,0112302,Tom and Huck,Stephen Holden,none,New York Times,,2000-01-01
11639,0112302,Tom and Huck,Peter Stack,none,San Francisco Chronicle,,2000-01-01
11639,0112302,Tom and Huck,Susan Stark,fresh,Detroit News,,2000-01-01
11639,0112302,Tom and Huck,Kevin McManus,none,Washington Post,,2000-01-01
15378,0114576,Sudden Death,,rotten,Entertainment Weekly,,2010-12-27
15378,0114576,Sudden Death,Derek Elley,none,Variety,,2009-03-26
15378,0114576,Sudden Death,Geoff Andrew,fresh,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",2006-02-09
15378,0114576,Sudden Death,Stephen Holden,fresh,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",2003-05-20
15378,0114576,Sudden Death,Mick LaSalle,fresh,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,2002-06-18
15378,0114576,Sudden Death,Peter Travers,rotten,Rolling Stone,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",2001-05-12
15378,0114576,Sudden Death,Kevin Thomas,fresh,Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",2001-02-13
15378,0114576,Sudden Death,Roger Ebert,fresh,Chicago Sun-Times,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",2000-01-01
15378,0114576,Sudden Death,Richard Harrington,fresh,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",2000-01-01
15378,0114576,Sudden Death,Desson Thomson,rotten,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",2000-01-01
15378,0114576,Sudden Death,Susan Stark,rotten,Detroit News,,2000-01-01
15378,0114576,Sudden Death,James Berardinelli,rotten,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",2000-01-01
12812,0113189,GoldenEye,Anthony Lane,fresh,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",2012-10-23
12812,0113189,GoldenEye,Owen Gleiberman,rotten,Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",2008-10-13
12812,0113189,GoldenEye,Jonathan Rosenbaum,fresh,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",2008-10-13
12812,0113189,GoldenEye,Richard Schickel,rotten,TIME Magazine,"Richard Kiel, you are missed.",2008-10-13
12812,0113189,GoldenEye,Todd McCarthy,fresh,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",2008-10-02
12812,0113189,GoldenEye,,fresh,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,2006-02-09
12812,0113189,GoldenEye,Janet Maslin,rotten,New York Times,Suffers the blahs.,2003-05-20
12812,0113189,GoldenEye,Peter Stack,fresh,San Francisco Chronicle,"Supercharged with spectacular, thundering, brain-numbing fun.",2002-06-18
12812,0113189,GoldenEye,Rick Groen,rotten,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",2002-04-12
12812,0113189,GoldenEye,Kenneth Turan,rotten,Los Angeles Times,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.",2001-02-13
12812,0113189,GoldenEye,Susan Wloszczyna,fresh,USA Today,It's BS -- Babes and Stunts -- and that's where GoldenEye excels.,2000-01-01
12812,0113189,GoldenEye,Hal Hinson,fresh,Washington Post,Directed with top-dollar proficiency (and some real wit).,2000-01-01
12812,0113189,GoldenEye,James Berardinelli,fresh,ReelViews,Perhaps the best entry in the series since The Spy Who Loved Me.,2000-01-01
12812,0113189,GoldenEye,Roger Ebert,fresh,Chicago Sun-Times,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",2000-01-01
12812,0113189,GoldenEye,Susan Stark,fresh,Detroit News,,2000-01-01
10129,0112346,The American President,Geoff Andrew,fresh,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",2006-06-24
10129,0112346,The American President,Janet Maslin,fresh,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",2003-05-20
10129,0112346,The American President,Kenneth Turan,fresh,Los Angeles Times,Genial and entertaining if not notably inspired.,2001-02-13
10129,0112346,The American President,,fresh,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,2001-02-13
10129,0112346,The American President,Richard Corliss,fresh,TIME Magazine,As bustling and impassioned as the best Sturges and Capra movies.,2000-01-01
10129,0112346,The American President,James Berardinelli,rotten,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",2000-01-01
10129,0112346,The American President,Tom Keogh,fresh,Film.com,"You can't dislike this movie, but you won't be swept away by it either.",2000-01-01
10129,0112346,The American President,Sean Means,fresh,Film.com,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,2000-01-01
10129,0112346,The American President,Joe Baltake,fresh,Sacramento Bee,"A shrewd new depiction of 'office sex,' as well as an utterly positive view of the idea that a president's character is important.",2000-01-01
10129,0112346,The American President,Susan Stark,fresh,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",2000-01-01
10129,0112346,The American President,Roger Ebert,fresh,Chicago Sun-Times,Great entertainment.,2000-01-01
10129,0112346,The American President,Desson Thomson,fresh,Washington Post,A well-modulated charmer.,2000-01-01
10129,0112346,The American President,Paula Nechak,fresh,Film.com,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,2000-01-01
10129,0112346,The American President,Rita Kempley,fresh,Washington Post,Frothy.,2000-01-01
10129,0112346,The American President,Edward Guthmann,fresh,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",2000-01-01
10129,0112346,The American President,John Hartl,fresh,Film.com,Painless fun.,2000-01-01
10129,0112346,The American President,Mike Clark,fresh,USA Today,A super cast injects it with Teddy Roosevelt vitality.,2000-01-01
10129,0112346,The American President,Susan Rathke,rotten,Film.com,"When it comes right down to it, high office does not guarantee high comedy.",2000-01-01
10129,0112346,The American President,Owen Gleiberman,fresh,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",1995-11-17
10445,0112896,Dracula: Dead and Loving It,Derek Elley,none,Variety,,2012-02-23
10445,0112896,Dracula: Dead and Loving It,Jonathan Rosenbaum,rotten,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,2009-10-20
10445,0112896,Dracula: Dead and Loving It,Joe Leydon,rotten,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",2009-03-26
10445,0112896,Dracula: Dead and Loving It,,rotten,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",2006-01-26
10445,0112896,Dracula: Dead and Loving It,Janet Maslin,fresh,New York Times,Slight but amusing.,2003-05-20
10445,0112896,Dracula: Dead and Loving It,David Kronke,rotten,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",2002-08-15
10445,0112896,Dracula: Dead and Loving It,James Berardinelli,rotten,ReelViews,It's a toothless parody that misses more often than it hits.,2000-01-01
10445,0112896,Dracula: Dead and Loving It,Susan Stark,rotten,Detroit News,,2000-01-01
10445,0112896,Dracula: Dead and Loving It,Hal Hinson,rotten,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",2000-01-01
10445,0112896,Dracula: Dead and Loving It,Susan Wloszczyna,rotten,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",2000-01-01
10445,0112896,Dracula: Dead and Loving It,Desson Thomson,rotten,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",2000-01-01
10445,0112896,Dracula: Dead and Loving It,Mick LaSalle,fresh,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",2000-01-01
9562,0112453,Balto,Brian Lowry,none,Variety,,2009-03-26
9562,0112453,Balto,,none,Time Out,,2006-01-26
9562,0112453,Balto,Stephen Holden,none,New York Times,,2003-05-20
9562,0112453,Balto,David Kronke,none,Los Angeles Times,,2002-08-15
9562,0112453,Balto,Joe Baltake,none,Sacramento Bee,,2000-01-01
9562,0112453,Balto,Peter Stack,none,San Francisco Chronicle,,2000-01-01
9562,0112453,Balto,Susan Wloszczyna,rotten,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",2000-01-01
9562,0112453,Balto,Kevin McManus,none,Washington Post,,2000-01-01
9562,0112453,Balto,Roger Ebert,fresh,Chicago Sun-Times,,2000-01-01
9562,0112453,Balto,James Berardinelli,rotten,ReelViews,,2000-01-01
9562,0112453,Balto,Susan Stark,rotten,Detroit News,,2000-01-01
9562,0112453,Balto,Rita Kempley,none,Washington Post,,2000-01-01
16248,0113987,Nixon,Owen Gleiberman,fresh,Entertainment Weekly,,2011-09-07
16248,0113987,Nixon,Geoff Andrew,rotten,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",2006-01-26
16248,0113987,Nixon,Janet Maslin,fresh,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",2003-05-20
16248,0113987,Nixon,,none,Globe and Mail,,2002-04-12
16248,0113987,Nixon,Peter Travers,none,Rolling Stone,,2001-05-12
16248,0113987,Nixon,Hal Hinson,fresh,Washington Post,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",2001-02-16
16248,0113987,Nixon,Kenneth Turan,fresh,Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",2001-02-13
16248,0113987,Nixon,Todd McCarthy,rotten,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,2001-02-13
16248,0113987,Nixon,James Berardinelli,fresh,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",2000-01-01
16248,0113987,Nixon,John Hartl,rotten,Film.com,There's no compelling structure or viewpoint to hold the picture together.,2000-01-01
16248,0113987,Nixon,Mick LaSalle,rotten,San Francisco Chronicle,The problem here isn't accuracy. It's absurdity.,2000-01-01
16248,0113987,Nixon,Roger Ebert,fresh,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",2000-01-01
16248,0113987,Nixon,Susan Stark,fresh,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",2000-01-01
16248,0113987,Nixon,Joe Baltake,fresh,Sacramento Bee,"Rich, dense and complex.",2000-01-01
16248,0113987,Nixon,Stanley Kauffmann,fresh,The New Republic,The picture is a case study.,2000-01-01
16248,0113987,Nixon,Sean Means,fresh,Film.com,Casting Anthony Hopkins was a stroke of unexpected genius.,2000-01-01
16248,0113987,Nixon,Emily White,rotten,Film.com,"Stone's no Shakespeare, and neither are his screenwriters.",2000-01-01
16248,0113987,Nixon,Mike Clark,fresh,USA Today,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,2000-01-01
16248,0113987,Nixon,Lyall Bush,rotten,Film.com,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,2000-01-01
16248,0113987,Nixon,Richard Corliss,rotten,TIME Magazine,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",2000-01-01
10672,0112760,Cutthroat Island,Todd McCarthy,none,Variety,,2009-03-26
10672,0112760,Cutthroat Island,,none,Time Out,,2006-02-09
10672,0112760,Cutthroat Island,Janet Maslin,none,New York Times,,2003-05-20
10672,0112760,Cutthroat Island,Kenneth Turan,none,Los Angeles Times,,2002-08-15
10672,0112760,Cutthroat Island,Peter Stack,rotten,San Francisco Chronicle,,2002-06-18
10672,0112760,Cutthroat Island,,none,Globe and Mail,,2002-04-12
10672,0112760,Cutthroat Island,Joe Baltake,none,Sacramento Bee,,2000-01-01
10672,0112760,Cutthroat Island,Roger Ebert,fresh,Chicago Sun-Times,,2000-01-01
10672,0112760,Cutthroat Island,Susan Stark,fresh,Detroit News,,2000-01-01
10672,0112760,Cutthroat Island,Susan Wloszczyna,fresh,USA Today,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",2000-01-01
10672,0112760,Cutthroat Island,Desson Thomson,none,Washington Post,,2000-01-01
10672,0112760,Cutthroat Island,James Berardinelli,rotten,ReelViews,,2000-01-01
10672,0112760,Cutthroat Island,,rotten,Entertainment Weekly,,1995-12-22
13456,0112641,Casino,Owen Gleiberman,fresh,Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",2010-01-25
13456,0112641,Casino,Richard Schickel,fresh,TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",2010-01-25
13456,0112641,Casino,Jonathan Rosenbaum,rotten,Chicago Reader,Simultaneously quite watchable and passionless.,2010-01-25
13456,0112641,Casino,Todd McCarthy,fresh,Variety,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",2008-05-16
13456,0112641,Casino,David Ansen,rotten,Newsweek,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",2008-03-31
